URL,Name,Year,Time,Rating,Genre,Director,Stars
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=51&ref_=adv_nxt",Jumanji: Welcome to the Jungle,2017,119 min,PG-13,"Action, Adventure, Comedy",Jake Kasdan,"Dwayne Johnson,Karen Gillan,Kevin Hart,Jack Black"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=51&ref_=adv_nxt",Batman v Superman: Dawn of Justice,2016,151 min,PG-13,"Action, Adventure, Fantasy",Zack Snyder,"Ben Affleck,Henry Cavill,Amy Adams,Jesse Eisenberg"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=51&ref_=adv_nxt",Hunter Killer,2018,122 min,R,"Action, Thriller",Donovan Marsh,"Gerard Butler,Gary Oldman,Common,Linda Cardellini"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=51&ref_=adv_nxt",John Wick,2014,101 min,R,"Action, Crime, Thriller",Chad Stahelski,"Keanu Reeves,Michael Nyqvist,Alfie Allen,Willem Dafoe"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=51&ref_=adv_nxt",Doctor Strange,2016,115 min,PG-13,"Action, Adventure, Fantasy",Scott Derrickson,"Benedict Cumberbatch,Chiwetel Ejiofor,Rachel McAdams,Benedict Wong"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=51&ref_=adv_nxt",Iron Man 2,2010,124 min,PG-13,"Action, Adventure, Sci-Fi",Jon Favreau,"Robert Downey Jr.,Mickey Rourke,Gwyneth Paltrow,Don Cheadle"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=51&ref_=adv_nxt",The Girl in the Spider's Web,2018,117 min,R,"Action, Crime, Drama",Fede Alvarez,"Claire Foy,Beau Gadsdon,Sverrir Gudnason,LaKeith Stanfield"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=51&ref_=adv_nxt",Iron Man Three,2013,130 min,PG-13,"Action, Adventure, Sci-Fi",Shane Black,"Robert Downey Jr.,Guy Pearce,Gwyneth Paltrow,Don Cheadle"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=51&ref_=adv_nxt",The Hunger Games,2012,142 min,PG-13,"Action, Adventure, Sci-Fi",Gary Ross,"Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,Stanley Tucci"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=51&ref_=adv_nxt",Baby Driver,2017,112 min,R,"Action, Crime, Drama",Edgar Wright,"Ansel Elgort,Jon Bernthal,Jon Hamm,Eiza González"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=51&ref_=adv_nxt",Hotel Artemis,2018,94 min,R,"Action, Crime, Drama",Drew Pearce,"Jodie Foster,Sofia Boutella,Dave Bautista,Sterling K. Brown"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=51&ref_=adv_nxt",The Suicide Squad,2021,,,"Action, Adventure, Fantasy",James Gunn,"Margot Robbie,Idris Elba,Jared Leto,Jai Courtney"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=51&ref_=adv_nxt",Mandy,2018,121 min,Not Rated,"Action, Fantasy, Horror",Panos Cosmatos,"Nicolas Cage,Andrea Riseborough,Linus Roache,Ned Dennehy"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=51&ref_=adv_nxt",The Mummy,2017,110 min,PG-13,"Action, Adventure, Fantasy",Alex Kurtzman,"Tom Cruise,Sofia Boutella,Annabelle Wallis,Russell Crowe"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=51&ref_=adv_nxt",King Arthur: Legend of the Sword,2017,126 min,PG-13,"Action, Adventure, Drama",Guy Ritchie,"Charlie Hunnam,Astrid Bergès-Frisbey,Jude Law,Djimon Hounsou"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=51&ref_=adv_nxt",Avatar,2009,162 min,PG-13,"Action, Adventure, Fantasy",James Cameron,"Sam Worthington,Zoe Saldana,Sigourney Weaver,Michelle Rodriguez"
"https://www.imdb.com/search/title?title_type=feature,tv_movie&genres=action&languages=en&start=101&ref_=adv_nxt",Kill Bill: Vol. 1,2003,111 min,R,"Action, Crime, Thriller",Quentin Tarantino,"Uma Thurman,David Carradine,Daryl Hannah,Michael Madsen"
